PM1.0; PM2.5; PM10; Temperature; Humidity; Pressure; Acc-X; Acc-Y; Acc-Z; CO2; Time; Date; Fix; Quality; Voltage; Current; Power; Location; Location; Speed (knots); Angle; Altidude; Satellites 
39;2;0;14;37.81;1018.26;70.12;20.37;-17.19;222.3; 12:47:58:0; 11:2:22;1;1;5.05;-190.28;964.8; 4900.84N; 824.27E;8.37;89.83;97.8;3
60;2;0;13.8;38.07;1018.41;9.69;2.37;-1.12;429.76; 12:48:11:0; 11:2:22;1;1;5.17;-184.6;991.2; 4900.83N; 824.31E;9.08;87.26;92.2;3
60;7;1;14.12;37.91;1018.42;353.88;0.69;-16.31;327.99; 12:48:24:0; 11:2:22;1;1;5.06;-194.08;946.4; 4900.83N; 824.34E;0.47;115.02;92.8;3
57;6;1;14.07;37.84;1018.46;309.94;-1.75;-4;152.2; 12:48:36:209; 11:2:22;1;1;5.16;-190.2;966.4; 4900.83N; 824.37E;5.47;90.54;88.9;3
49;1;0;14.04;38.37;1018.47;354.81;-1.44;-0.5;267.45; 12:48:48:210; 11:2:22;1;1;5.04;-192.68;973.6; 4900.84N; 824.38E;3.75;47.44;84.9;3
55;0;0;13.91;38.38;1018.48;357.81;0.5;0.62;183.03; 12:49:3:0; 11:2:22;1;1;5.07;-195.68;991.2; 4900.86N; 824.39E;6.48;74.92;80.4;3
37;1;0;13.45;39.59;1018.48;347.12;-2.62;-0.69;427.73; 12:49:28:0; 11:2:22;1;1;5.03;-190;876.8; 4900.88N; 824.48E;8.13;70.21;72;3
29;2;0;12.82;41.4;1018.52;4.81;2.19;0.13;314.85; 12:49:42:0; 11:2:22;1;1;5.07;-256.8;1310.4; 4900.89N; 824.53E;9.64;72.76;67.4;3
61;4;0;12.5;42.48;1018.52;358.31;-3.31;-0.13;274.78; 12:49:54:0; 11:2:22;1;1;5.08;-197;1008; 4900.90N; 824.58E;6.3;78.5;63.7;3
56;4;0;12.1;42.44;1018.51;7.62;1.25;0;360.42; 12:50:3:0; 11:2:22;1;0;5.03;-168.4;850.4; 4900.91N; 824.62E;10.76;75.4;0;0
79;5;1;12.13;42.6;1018.56;356.31;0.13;-1.94;245; 12:50:23:0; 11:2:22;1;1;5.02;-185.28;944.8; 4900.92N; 824.68E;10.14;73.91;55.9;3
57;4;2;12.11;42.56;1018.39;1.37;1.56;-0.56;38.08; 12:50:38:0; 11:2:22;1;1;5.04;-177.2;899.2; 4900.93N; 824.75E;10.52;73.44;52.7;3
32;2;1;11.41;43.02;1018.47;4.12;2.56;-0.94;338.89; 12:50:48:211; 11:2:22;1;1;5.15;-201.08;921.6; 4900.95N; 824.79E;11.19;71.19;50.1;3
25;2;0;10.84;44.68;1018.5;0.69;-0.19;0.75;280.85; 12:51:6:0; 11:2:22;1;1;5.14;-200.68;1035.2; 4900.96N; 824.88E;11.74;69.58;46.1;3
33;4;0;10.52;45.6;1018.47;4.19;0.62;0.31;231.08; 12:51:18:208; 11:2:22;1;1;5.15;-191.4;988; 4900.98N; 824.94E;12.53;69.63;42.8;3
40;3;0;10.67;46.27;1018.51;7.31;3.81;-1.12;227.42; 12:51:34:0; 11:2:22;1;1;5.14;-195.8;1014.4; 4900.99N; 825.02E;8.78;75.45;39.7;3
69;1;0;11.62;45.69;1018.53;17;-7.69;-18.37;123.15; 12:51:53:0; 11:2:22;1;1;5.04;-192.2;972.8; 4901.00N; 825.03E;0.94;70.29;38.7;3
52;0;0;11.21;44.97;1018.49;357.56;-0.44;-0.25;280.5; 12:52:6:213; 11:2:22;1;1;5.13;-190.2;972.8; 4901.01N; 825.07E;9.91;72.49;38.4;3
37;0;0;10.76;45.71;1018.47;2.12;3;-0.5;124.52; 12:52:16:0; 11:2:22;1;1;5.05;-261.48;1233.6; 4901.02N; 825.12E;10.65;76.25;37.5;3
37;3;0;10.23;47.78;1018.5;1.12;0.75;-0.13;279.41; 12:52:33:0; 11:2:22;1;1;5.05;-200.6;1014.4; 4901.03N; 825.20E;11.72;70.58;36.4;3
33;4;0;10.02;48.66;1018.46;357.19;-6.44;0.06;298.12; 12:52:46:0; 11:2:22;1;1;4.88;-187;835.2; 4901.05N; 825.26E;6.89;70.66;35.9;3
39;5;0;9.86;48.28;1018.5;358.63;0.31;-0.19;190.17; 12:53:3:0; 11:2:22;1;1;5.08;-189;1032.8; 4901.07N; 825.34E;9.99;69.7;66.3;4
53;6;0;9.69;48.06;1018.52;0.94;4.44;-0.56;247.63; 12:53:14:0; 11:2:22;1;1;5.03;-175.48;887.2; 4901.08N; 825.40E;10.7;65.91;90.3;4
68;2;0;9.71;47.7;1018.55;5.69;6.37;0.06;165.58; 12:53:38:0; 11:2:22;1;1;4.95;-197.08;977.6; 4901.11N; 825.52E;12.44;72.02;113;5
53;2;0;9.42;48.97;1018.51;358.63;2.94;-0.13;102.41; 12:53:51:0; 11:2:22;1;1;5.05;-195.8;995.2; 4901.13N; 825.59E;13.07;66.42;122.1;5
35;4;1;9.2;49.74;1018.57;7.31;-2.25;-0.62;276.3; 12:54:4:0; 11:2:22;1;1;5.05;-208.68;1052.8; 4901.14N; 825.65E;12.04;69.34;124.1;5
30;3;1;9.34;49.67;1018.53;0.94;-0.75;-0.5;267.65; 12:54:16:0; 11:2:22;1;1;5.11;-184.6;944; 4901.15N; 825.71E;11.55;71.48;124.5;5
49;1;0;9.32;49.8;1018.59;6.19;-0.19;-0.19;231.45; 12:54:29:0; 11:2:22;1;1;5.11;-202.68;925.6; 4901.17N; 825.77E;11.96;72.36;127.2;6
58;2;0;9.18;50.36;1018.65;358.63;1.19;-0.06;249.18; 12:54:43:0; 11:2:22;1;1;5.09;-196.68;1049.6; 4901.18N; 825.84E;11.12;74.24;125.1;6
52;4;2;9.29;50.12;1018.63;0;0;0;208.98; 12:54:57:0; 11:2:22;1;1;5.02;-189.2;951.2; 4901.20N; 825.90E;10.83;63.71;125.8;6
65;3;2;9.71;49.74;1018.61;3.25;-1.5;-1.56;227.02; 12:55:9:0; 11:2:22;1;1;4.99;-190;950.4; 4901.22N; 825.94E;7.79;43.59;129.7;6
61;2;0;9.53;50.2;1018.54;359;1.62;0;170.61; 12:55:21:0; 11:2:22;1;1;5.09;-194.48;996; 4901.24N; 825.92E;8.54;302.53;128.5;6
62;2;0;9.38;50.38;1018.58;12.44;6.81;-1.5;241.74; 12:55:34:0; 11:2:22;1;1;4.92;-248.68;1309.6; 4901.26N; 825.89E;7.37;332.35;128.2;6
