Feinstaubmesssystem Messdaten ;;;;;;;;;;;;;;;;;;;;;;
PM1.0; PM2.5; PM10; Temperature; Humidity; Pressure; Acc-X; Acc-Y; Acc-Z; CO2; Time; Date; Fix; Quality; Voltage; Current; Power; Location; Location; Speed (knots); Angle; Altidude; Satellites 
0;0;0;18.82;57.91;993.19;2.81;2.19;7.19;261.48; 23:59:42:800; 5:1:80;0;0;4.79;183.2;911.2;;;;;;
0;0;0;18.87;56.72;993.04;120.44;9.13;1.94; nan; 23:59:47:799; 5:1:80;0;0;5.16;155.6;798.4;;;;;;
0;0;0;18.88;57.01;993.04;100.75;25.37;-7.44; nan; 23:59:54:800; 5:1:80;0;0;5.18;189;973.6;;;;;;
0;0;0;18.89;57;993.08;51.56;7.12;0.13; nan; 0:0:1:800; 6:1:80;0;0;5.07;187.32;960.8;;;;;;
1;0;0;18.9;57.15;993.03;270.63;4.12;-2.37;861.44; 0:0:8:800; 6:1:80;0;0;5.16;158.72;732.8;;;;;;
1;0;0;18.91;57.48;993.02;270.56;3.19;-2.06; nan; 0:0:15:799; 6:1:80;0;0;5.12;163.12;835.2;;;;;;
1;0;0;18.91;57.48;993.03;269.87;8.5;0.62; nan; 0:0:22:799; 6:1:80;0;0;4.77;238.4;1132.8;;;;;;
0;0;0;18.9;56.84;993.02;1.06;84.5;2.44; nan; 23:59:48:799; 5:1:80;0;0;5.13;257.2;1308;;;;;;
0;0;0;18.94;57.34;993.03;62.75;67.06;-52.94; nan; 23:59:55:800; 5:1:80;0;0;5.21;159.92;739.2;;;;;;
45;8;3;18.94;57.29;993.01;166.94;9;-10.19; nan; 0:0:2:800; 6:1:80;0;0;5.19;159.2;759.2;;;;;;
16;2;0;18.94;57.08;993.05;245;13.5;-5.37; nan; 0:0:9:800; 6:1:80;0;0;5.14;219.32;1124.8;;;;;;
8;1;0;18.95;57.12;993.2;262.94;13.94;-4.31; nan; 0:0:16:799; 6:1:80;0;0;5.18;163.32;846.4;;;;;;
0;0;0;18.94;56.12;993.47;275.06;66.94;-4.75;297.4; 23:59:44:799; 5:1:80;0;0;5.19;154.6;794.4;;;;;;
0;0;0;18.93;55.46;993.47;256.19;57.75;3.56; nan; 23:59:59:699; 5:1:80;0;0;5.17;186.72;958.4;;;;;;
0;0;0;18.92;54.59;993.46;299.56;63.81;11.12; nan; 0:0:6:684; 6:1:80;0;0;5.14;144.32;776;;;;;;
0;0;0;18.91;54.36;993.5;343.06;64.37;-1.31; nan; 13:34:58:88; 6:1:80;0;0;5.06;153.72;737.6;;;;;;
0;0;0;18.86;52.47;993.46;359.5;-11.31;-7.37;180.23; 23:59:44:799; 5:1:80;0;0;5.2;143.52;744.8;;;;;;
0;0;0;18.73;50.74;993.43;4.87;74.31;-10.5; nan; 23:59:47:799; 5:1:80;0;0;5.17;173.4;950.4;;;;;;
0;0;0;18.64;49.52;993.45;358.63;66.44;-0.19;197.94; 23:59:44:799; 5:1:80;0;0;5.11;155.2;806.4;;;;;;
0;0;0;18.62;49.29;993.54;0.88;65.81;7.25; nan; 13:36:3:307; 6:1:80;0;0;5.14;138.4;710.4;;;;;;
0;0;0;18.55;48.57;993.57;24.87;31.75;5.75;144.17; 23:59:44:799; 5:1:80;0;0;5.2;156;816.8;;;;;;
0;0;0;18.21;48.74;993.65;0.69;11.38;7.25;247.8; 0:0:0:0; 0:0:0;0;0;5.07;183.52;930.4;;;;;;
3;1;0;18.12;47.24;993.62;8.56;10.56;1.69;721.25; 13:36:50:300; 6:1:80;0;0;5.14;167.2;854.4;;;;;;
19;4;1;18.04;47.36;993.61;9.5;13.25;0.25;986.08; 13:36:57:93; 6:1:80;0;0;5.16;143.12;735.2;;;;;;
55;6;1;17.89;46.33;993.63;9.44;13.06;0.13;954.39; 13:37:4:302; 26:12:21;0;0;5.13;169.92;933.6;;;;;;
81;8;1;17.87;46.62;993.63;9.69;12.25;2.37; nan; 13:37:11:95; 26:12:21;0;0;5.16;161.12;841.6;;;;;;
91;5;0;17.8;47.02;993.62;8;10.81;5.44; nan; 13:37:18:305; 26:12:21;0;0;5.14;153.6;788;;;;;;
108;7;0;17.74;46.79;993.64;4.94;12.13;4.25; nan; 13:37:25:97; 26:12:21;0;0;5.12;193.8;991.2;;;;;;
144;9;0;17.62;46.72;993.6;2.75;13.44;0.81; nan; 13:37:32:307; 26:12:21;0;0;5.12;183.32;993.6;;;;;;
201;14;0;17.62;46.37;993.62;2.56;20.12;2.87; nan; 13:37:39:307; 26:12:21;0;0;5.05;219.8;1102.4;;;;;;
198;17;0;17.57;46.61;993.62;142.5;6.37;-9; nan; 13:37:46:307; 26:12:21;0;0;5.03;250.12;1164;;;;;;
0;0;0;17.51;46.36;993.55;11.81;60.75;-32.5;532.28; 23:59:44:799; 5:1:80;0;0;5.17;157.72;829.6;;;;;;
162;9;0;17.48;46.34;993.51;349.69;57.88;-9.63;851.37; 23:59:58:800; 5:1:80;0;0;5.13;179.6;920;;;;;;
0;0;0;17.4;46.16;993.5;2.62;65.12;-22.06;361.53; 23:59:44:799; 5:1:80;0;0;5.2;153.6;747.2;;;;;;
169;13;0;17.33;46.06;993.53;354.25;69.81;-17.62; nan; 13:38:29:97; 6:1:80;0;0;5.16;179.92;848;;;;;;
171;7;2;17.23;45.5;993.46;3.19;1.56;-1.69; nan; 13:38:48:93; 6:1:80;0;0;5.1;158.2;829.6;;;;;;
0;0;0;17.22;44.92;993.55;260.94;67.69;-14.13;99.4; 23:59:44:799; 5:1:80;0;0;5.12;143.72;730.4;;;;;;
182;9;0;17.16;44.82;993.52;7.06;58.56;-2.12; nan; 13:39:7:292; 6:1:80;0;0;5.12;177.2;917.6;;;;;;
165;15;0;17.19;44.76;993.53;15.31;56;-9.5; nan; 13:39:15:97; 6:1:80;0;0;4.88;145.72;706.4;;;;;;
176;12;0;17.09;44.79;993.43;10.06;58.94;-9.19; nan; 13:39:22:97; 6:1:80;0;0;4.99;157.6;718.4;;;;;;
196;7;0;16.98;44.62;993.38;17.87;60.25;-13.69; nan; 13:39:29:97; 6:1:80;0;0;4.77;194.12;934.4;;;;;;
173;10;0;16.91;44.62;993.41;16.44;61.31;-5.37; nan; 13:39:35:0; 26:12:21;0;0;5.05;211.4;1006.4;;;;;;
0;0;0;16.84;44.78;993.42;0.19;62.44;-5.5;15.51; 13:39:43:406; 26:12:21;0;0;5.04;203.92;1028;;;;;;
174;8;1;16.81;44.76;993.43;359.44;61.69;3.19; nan; 13:39:58:0; 26:12:21;0;0;5.12;155.8;788.8;;;;;;
